,Toh Numbers,,ཆོས་ཚན།,,མཆན།,མཚན་བྱང་རྐྱང་པ།,Taiwan Tengyur Calculator,ཀུན་གསལ་མེ་ལོང་།,,རབ་བརྟན་གྱི་མཆན།,དབུ།,First Images,རྒྱབ་འདུན།,དབུ་ཤོག་ཐིག་གྲངས།,ཤོག་ངོས་གཞན་གྱི་ཐིག་གྲངས།,ཞབས།,རྒྱབ་འདུན།,ཞབས་ཀྱི་ཐིག་གྲངས།,ཤོག་ངོས་༡ པོའི་ཐིག་གྲངས།,ཤོག་ངོས་༢ པའི་ཐིག་གྲངས།,,,,,
,T4005,1-108 བྱང་ཆུབ་ཀྱི་ལྟུང་བ་བཤགས་པའི་འགྲེལ་པ།.txt,1-108 བྱང་ཆུབ་ཀྱི་ལྟུང་བ་བཤགས་པའི་འགྲེལ་པ།_conc-corrected.txt,,,བྱང་ཆུབ་ཀྱི་ལྟུང་བ་བཤགས་པའི་འགྲེལ་པ,༤༠༠༥་མདོ་འགྲེལ་ཇི,མདོ་སྡེ། ཇི། 67,4005,,178,http://iiif.bdrc.io/bdr:V23703_I1432::14320357.tif/full/full/0/default.jpg,a,4,7,187,b,3,7,7,,,,,
,T4101,1-109 འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་རྣམ་པར་འགྲེལ་པ།.txt,1-109 འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་རྣམ་པར་འགྲེལ་པ།_conc.txt,,,འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་རྣམ་པར་འགྲེལ་པ,༤༡༠༡་མངོན་པ་ཐུ,མངོན་པ། ཐུ། 83,4101,,222,http://iiif.bdrc.io/bdr:V23703_I1465::14650446.tif/full/full/0/default.jpg,b,1,7,223,a,4,7,7,,,,,
,T1129,1-11 བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ།.txt,1-11 བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ།_conc-corrected.txt,,,བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ,༡༡༢༩་བསྟོད་ཚོགས་ཀ,བསྟོད་ཚོགས་ཀ 1,1129,,79,http://iiif.bdrc.io/bdr:V23703_I1317::13170159.tif/full/full/0/default.jpg,a,2,7,79,b,6,7,7,,,,,
,T4124,1-110 འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།.txt,1-110 འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt,,དབུའི་ཐིག་ཕྲེང་གཅིག་ཟགས་འདུག,འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ,༤༡༢༤་འདུལ་བ་ཤུ,འདུལ་བ། སུ། 93,4124,,1,http://iiif.bdrc.io/bdr:V23703_I1482::14820127.tif/full/full/0/default.jpg,b,1,7,4,b,1,5,5,,,,,
,T4148,1-111 བསླབ་པ་བཅུའི་ཆོ་ག.txt,1-111 བསླབ་པ་བཅུའི་ཆོ་ག_conc-corrected.txt,,དབུའི་མཚན་བྱང་ཆད་འདུག,བསླབ་པ་བཅུའི་ཆོ་ག,༤༡༤༨་འདུལ་བ་སུ,འདུལ་བ། སུ། 93,4148,,252,http://iiif.bdrc.io/bdr:V23703_I1483::14830506.tif/full/full/0/default.jpg,b,6,7,253,a,7,7,7,,,,,
,T4158,1-112 རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ།.txt,1-112 རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ།_conc-corrected.txt,,དག་བརྩོན་ལྡན་པར། །Enterཆོས,རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ,༤༡༥༨་སྤྲིང་ཡིག་གེ,སྐྱེྱེས་རབས། གེ། 96,4158,,107,http://iiif.bdrc.io/bdr:V23703_I1488::14880215.tif/full/full/0/default.jpg,a,1,7,126,a,4,7,7,,,,,
,T4160,1-113 རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།.txt,1-113 རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།_conc-corrected.txt,,,རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ,༤༥༥༥་ཇོ་བོའི་ཆོས་ཆུང་གི,སྐྱེས་རབས། གེ། 96,4555,,165,http://iiif.bdrc.io/bdr:V23703_I1488::14880331.tif/full/full/0/default.jpg,a,5,7,166,b,5,7,7,,,,,
,T4161,1-114 སྦྱིན་པའི་གཏམ།.txt,1-114 སྦྱིན་པའི་གཏམ།_conc-corrected.txt,,,སྦྱིན་པའི་གཏམ,༤༡༦༡་སྤྲིང་ཡིག་གེ,སྐྱེས་རབས། གེ། 96,4161,,166,http://iiif.bdrc.io/bdr:V23703_I1488::14880334.tif/full/full/0/default.jpg,b,5,7,167,b,1,7,7,,,,,
,T4162,1-115 སྲིད་པ་ལས་འདས་པའི་གཏམ།.txt,1-115 སྲིད་པ་ལས་འདས་པའི་གཏམ།_conc-corrected.txt,,,སྲིད་པ་ལས་འདས་པའི་གཏམ,༤༡༦༢་སྤྲིང་ཡིག་གེ,སྐྱེས་རབས། གེ། 96,4162,,167,http://iiif.bdrc.io/bdr:V23703_I1488::14880336.tif/full/full/0/default.jpg,b,1,7,168,a,4,7,7,,,,,
,T4182,1-116 བཤེས་པའི་སྤྲིང་ཡིག.txt,1-116 བཤེས་པའི་སྤྲིང་ཡིག_conc-corrected.txt,,,བཤེས་པའི་སྤྲིང་ཡིག,༤༤༩༦་ཇོ་བོའི་ཆོས་ཆུང་གི,སྤྲིང་ཡིག ངེ། 96,4496,,40,http://iiif.bdrc.io/bdr:V23703_I1489::14890082.tif/full/full/0/default.jpg,b,4,7,46,b,3,7,7,,,,,
