,Toh Numbers,,ཆོས་ཚན།,,མཆན།,མཚན་བྱང་རྐྱང་པ།,Taiwan Tengyur Calculator,ཀུན་གསལ་མེ་ལོང་།,,རབ་བརྟན་གྱི་མཆན།,དབུ།,First Images,རྒྱབ་འདུན།,དབུ་ཤོག་ཐིག་གྲངས།,ཤོག་ངོས་གཞན་གྱི་ཐིག་གྲངས།,ཞབས།,རྒྱབ་འདུན།,ཞབས་ཀྱི་ཐིག་གྲངས།,ཤོག་ངོས་༡ པོའི་ཐིག་གྲངས།,ཤོག་ངོས་༢ པའི་ཐིག་གྲངས།,,,,,
10-11,T3994,10-11_འཕགས་པ་བློ་གྲོས་མི་ཟད་པས་བསྟན་པ་རྒྱ་ཆེར་འགྲེལ་པ།.txt,10-11_འཕགས་པ་བློ་གྲོས་མི་ཟད་པས་བསྟན་པ་རྒྱ་ཆེར་འགྲེལ་པ།_conc.txt,,,འཕགས་པ་བློ་གྲོས་མི་ཟད་པས་བསྟན་པ་རྒྱ་ཆེར་འགྲེལ་པ,༣༩༩༤་མདོ་འགྲེལ་ཅི,མདོ་སྡེ། ཅི། 66,3994,,,http://iiif.bdrc.io/bdr:V23703_I1430::14300004.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-12,T4026,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།.txt,10-12_མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ།_conc.txt,,,མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ,༤༠༢༦་སེམས་ཙམ་ཕི,སེམས་ཙམ། ཕི། 71,4026,,129,http://iiif.bdrc.io/bdr:V23703_I1439::14390260.tif/full/full/0/default.jpg,b,1,260,a,,,,,,,,,
10-13,T4027,10-13_དབུས་དང་མཐའ་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ།.txt,10-13_དབུས་དང་མཐའ་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ།_conc.txt,,,དབུས་དང་མཐའ་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ,༤༠༢༧་སེམས་ཙམ་བི,སེམས་ཙམ། བི། 71,4027,,1,,,,,,,,,,,,,,
10-14,T4028,10-14_ཆོས་དང་ཆོས་ཉིད་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ།.txt,10-14_ཆོས་དང་ཆོས་ཉིད་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ།_conc.txt,,,ཆོས་དང་ཆོས་ཉིད་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ,༤༠༢༨་སེམས་ཙམ་བི,སེམས་ཙམ། བི། 71,4028,,27,http://iiif.bdrc.io/bdr:V23703_I1440::14400056.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-15,T4050,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།.txt,10-15_ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།_conc.txt,,,ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ,༤༠༥༠་སེམས་ཙམ་རི,སེམས་ཙམ། རི། 76,4050,,121,http://iiif.bdrc.io/bdr:V23703_I1450::14500244.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-16,T4052,10-16_དོན་གསང་བ་རྣམ་པར་ཕྱེ་བ་བསྡུས་ཏེ་བཤད་པ།.txt,10-16_དོན་གསང་བ་རྣམ་པར་ཕྱེ་བ་བསྡུས་ཏེ་བཤད་པ།_conc.txt,,,དོན་གསང་བ་རྣམ་པར་ཕྱེ་བ་བསྡུས་ཏེ་བཤད་པ,༤༠༥༢་སེམས་ཙམ་རི,སེམས་ཙམ། རི། 76,4052,,296,http://iiif.bdrc.io/bdr:V23703_I1450::14500594.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-17,T4055,10-17_སུམ་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ།.txt,10-17_སུམ་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ།_conc.txt,,,སུམ་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ,༤༠༥༥་སེམས་ཙམ་ཤི,སེམས་ཙམ། ཤི། 77,4055,,1,http://iiif.bdrc.io/bdr:V23703_I1452::14520004.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-18,T4056,10-18_ཉི་ཤུ་པའི་ཚིག་ལེའུར་བྱས་པ།.txt,10-18_ཉི་ཤུ་པའི་ཚིག་ལེའུར་བྱས་པ།_conc.txt,,,ཉི་ཤུ་པའི་ཚིག་ལེའུར་བྱས་པ,༤༠༥༦་སེམས་ཙམ་ཤི,སེམས་ཙམ། ཤི། 77,4056,,3,http://iiif.bdrc.io/bdr:V23703_I1452::14520007.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-19,T4057,10-19_ཉི་ཤུ་པའི་འགྲེལ་པ།.txt,10-19_ཉི་ཤུ་པའི་འགྲེལ་པ།_conc.txt,,,ཉི་ཤུ་པའི་འགྲེལ་པ,༤༠༥༧་སེམས་ཙམ་ཤི,སེམས་ཙམ། ཤི། 77,4057,,4,http://iiif.bdrc.io/bdr:V23703_I1452::14520009.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-1,T1146,10-1_དཀོན་མཆོག་གསུམ་གྱི་བསྟོད་པ།.txt,10-1_དཀོན་མཆོག་གསུམ་གྱི་བསྟོད་པ།_conc.txt,,,དཀོན་མཆོག་གསུམ་གྱི་བསྟོད་པ,༡༡༤༦་བསྟོད་ཚོགས་ཀ,བསྟོད་ཚོགས་ཀ 1,1146,,109,http://iiif.bdrc.io/bdr:V23703_I1317::13170220.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-20,T4058,10-20_རང་བཞིན་གསུམ་ངེས་པར་བསྟན་པ།.txt,10-20_རང་བཞིན་གསུམ་ངེས་པར་བསྟན་པ།_conc.txt,,,རང་བཞིན་གསུམ་ངེས་པར་བསྟན་པ,༤༠༥༨་སེམས་ཙམ་ཤི,སེམས་ཙམ། ཤི། 77,4058,,10,http://iiif.bdrc.io/bdr:V23703_I1452::14520021.tif/full/full/0/default.jpg,,,,,,,,,,,,,
,T3995,10-21 རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་དང་པོའི་རྣམ་པར་དབྱེ་བ་བཤད་པ།.txt,10-21 རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་དང་པོའི་རྣམ་པར་དབྱེ་བ་བཤད་པ།.txt,,,རྟེན་ཅིང་འབྲེལ་བར་འབྱུང་བ་དང་པོའི་རྣམ་པར་དབྱེ་བ་བཤད་པ,༣༩༩༥་མདོ་འགྲེལ་ཆི,མདོ་སྡེ། ཆི། 66,3995,,1,http://iiif.bdrc.io/bdr:V23703_I1431::14310004.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-22,T3866,10-22_ཕུང་པོ་ལྔའི་རབ་ཏུ་བྱེད་པ།.txt,10-22_ཕུང་པོ་ལྔའི་རབ་ཏུ་བྱེད་པ།_conc.txt,,,ཕུང་པོ་ལྔའི་རབ་ཏུ་བྱེད་པ,༣༨༦༦་དབུ་མ་ཡ,དབུ་མ། ཡ 60,3866,,239,http://iiif.bdrc.io/bdr:V23703_I1419::14190480.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-23,T4060,10-23_རྣམ་པར་བཤད་པ་རིགས་པའི་མདོ་སྡེའི་དུམ་བུ་བརྒྱ།.txt,10-23_རྣམ་པར་བཤད་པ་རིགས་པའི་མདོ་སྡེའི་དུམ་བུ་བརྒྱ།_conc.txt,,,རྣམ་པར་བཤད་པ་རིགས་པའི་མདོ་སྡེའི་དུམ་བུ་བརྒྱ,༤༠༦༠་སེམས་ཙམ་ཤི,སེམས་ཙམ། ཤི། 77,4060,,17,http://iiif.bdrc.io/bdr:V23703_I1452::14520036.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-24,T4061,10-24_རྣམ་པར་བཤད་པའི་རིགས་པ། (1).txt,10-24_རྣམ་པར་བཤད་པའི་རིགས་པ།_conc (1).txt,,,རྣམ་པར་བཤད་པའི་རིགས་པ,༤༠༦༡་སེམས་ཙམ་ཤི,སེམས་ཙམ། ཤི། 77,4061,,29,http://iiif.bdrc.io/bdr:V23703_I1452::14520059.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-25,T4062,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།.txt,10-25_ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ།_conc.txt,,,ལས་གྲུབ་པའི་རབ་ཏུ་བྱེད་པ,༤༠༦༢་སེམས་ཙམ་ཤི,སེམས་ཙམ། ཤི། 77,4062,,134,http://iiif.bdrc.io/bdr:V23703_I1452::14520270.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-26,T4063,10-26_ཐེག་པ་ཆེན་པོའི་ཆོས་བརྒྱ་གསལ་བའི་སྒོའི་བསྟན་བཅོས།.txt,10-26_ཐེག་པ་ཆེན་པོའི་ཆོས་བརྒྱ་གསལ་བའི་སྒོའི་བསྟན་བཅོས།_conc.txt,,,ཐེག་པ་ཆེན་པོའི་ཆོས་བརྒྱ་གསལ་བའི་སྒོའི་བསྟན་བཅོས,༤༠༦༣་སེམས་ཙམ་ཤི,སེམས་ཙམ། ཤི། 77,4063,,145,http://iiif.bdrc.io/bdr:V23703_I1452::14520291.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-27,T4089,10-27_ཆོས་མངོན་པའི་མཛོད་ཀྱི་ཚིག་ལེའུར་བྱས་པ།.txt,10-27_ཆོས་མངོན་པའི་མཛོད་ཀྱི་ཚིག་ལེའུར་བྱས་པ།_conc.txt,,,ཆོས་མངོན་པའི་མཛོད་ཀྱི་ཚིག་ལེའུར་བྱས་པ,༤༠༨༩་མངོན་པ་ཀུ,མངོན་པ། ཀུ། 79,4089,,1,http://iiif.bdrc.io/bdr:V23703_I1456::14560003.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-28,T4102,10-28_བསྟན་བཅོས་ཚིགས་སུ་བཅད་པ་བསྡུས་པ།.txt,10-28_བསྟན་བཅོས་ཚིགས་སུ་བཅད་པ་བསྡུས་པ།_conc.txt,,,བསྟན་བཅོས་ཚིགས་སུ་བཅད་པ་བསྡུས་པ,༤༡༠༢་མངོན་པ་ཐུ,མངོན་པ། ཐུ། 83,4102,,223,http://iiif.bdrc.io/bdr:V23703_I1465::14650447.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-29,T4163,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།.txt,10-29_ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ།_conc.txt,,,ཡོན་ཏན་བདུན་ཡོངས་སུ་བརྗོད་པའི་གཏམ,༤༥༠༧་ཇོ་བོའི་ཆོས་ཆུང་གི,སྐྱེས་རབས། གེ། 96,4507,,99,http://iiif.bdrc.io/bdr:V23703_I1488::14880337.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-2,T2694,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།.txt,10-2_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།_conc.txt,,,འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ,༢༦༩༤་རྒྱུད་ནུ,རྒྱུད། ནུ། 37,2694,,1,,,,,,,,,,,,,,
10-30,T4164,10-30_ཚུལ་ཁྲིམས་ཀྱི་གཏམ།.txt,10-30_ཚུལ་ཁྲིམས་ཀྱི་གཏམ།_conc.txt,,,ཚུལ་ཁྲིམས་ཀྱི་གཏམ,༤༥༠༨་ཇོ་བོའི་ཆོས་ཆུང་གི,སྐྱེས་རབས། གེ། 96,4508,,100,http://iiif.bdrc.io/bdr:V23703_I1488::14880339.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-31,T4166,10-31_ཚོགས་ཀྱི་གཏམ།.txt,10-31_ཚོགས་ཀྱི་གཏམ།_conc.txt,,,ཚོགས་ཀྱི་གཏམ,༤༥༠༩་ཇོ་བོའི་ཆོས་ཆུང་གི,སྐྱེས་རབས། གེ། 96,4509,,101,http://iiif.bdrc.io/bdr:V23703_I1488::14880348.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-32,T4180,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།.txt,10-32_འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ།_conc.txt,,,འདོད་པའི་ཡོན་ཏན་ལྔའི་ཉེས་དམིགས་བཤད་པ,༤༡༨༠་སྤྲིང་ཡིག་ངེ,སྤྲིང་ཡིག ངེ། 96,4180,,,http://iiif.bdrc.io/bdr:V23703_I1489::14890079.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-33,T4090,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ། (A).txt,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ། (A).txt,,,ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ,༤༠༩༠་མངོན་པ་ཀུ,མངོན་པ། ཀུ་དང་ཁུ། 79,4090,,,http://iiif.bdrc.io/bdr:V23703_I1456::14560054.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།,T4090,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B).txt,10-33_ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ།_(B)_conc.txt,,,ཆོས་མངོན་པའི་མཛོད་ཀྱི་བཤད་པ,༤༠༩༠་མངོན་པ་ཀུ,མངོན་པ། ཀུ་དང་ཁུ། 79,4090,,,http://iiif.bdrc.io/bdr:V23703_I1456::14560054.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-34,T4015,10-34_འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་འགྲེལ་པ།.txt,10-34_འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་འགྲེལ་པ།_conc.txt,,,འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་འགྲེལ་པ,༤༠༡༥་མདོ་འགྲེལ་ཉི,མདོ་སྡེ། ཉི། 67,4015,,,http://iiif.bdrc.io/bdr:V23703_I1433::14330506.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-38,T4103,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ་ཞེས་བྱ་བའི་བསྟན་བཅོས།.txt,10-38_ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ་ཞེས་བྱ་བའི་བསྟན་བཅོས།_conc.txt,,,ཚིགས་སུ་བཅད་པའི་དོན་བསྡུས་པ་ཞེས་བྱ་བའི་བསྟན་བཅོས,༤༡༠༣་མངོན་པ་ཐུ,མངོན་པ། ཐུ། 83,4103,,,http://iiif.bdrc.io/bdr:V23703_I1465::14650449.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-3,T3808,10-3_འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་འབུམ་པ་དང་ཉི་ཁྲི་ལྔ་སྟོང་པ་དང་ཁྲི་བརྒྱད་སྟོང་པའི་རྒྱ་ཆེར་བཤད་པ།.txt,10-3_འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་འབུམ་པ་དང་ཉི་ཁྲི་ལྔ་སྟོང་པ་དང་ཁྲི་བརྒྱད་སྟོང་པའི་རྒྱ་ཆེར་བཤད་པ།.txt,,,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་འབུམ་པ་དང་ཉི་ཁྲི་ལྔ་སྟོང་པ་དང་ཁྲི་བརྒྱད་སྟོང་པའི་རྒྱ་ཆེར་བཤད་པ,༣༨༠༨་ཤེར་ཕྱིན་ཕ,ཤེར་ཕྱིན། ཕ། 55,3808,,,http://iiif.bdrc.io/bdr:V23703_I1409::14090004.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-40,T3993,10-40_འཕགས་པ་ས་བཅུ་པའི་རྣམ་པར་བཤད་པ།.txt,10-40_འཕགས་པ་ས་བཅུ་པའི་རྣམ་པར་བཤད་པ།_conc.txt,,,འཕགས་པ་ས་བཅུ་པའི་རྣམ་པར་བཤད་པ,༣༩༩༣་མདོ་འགྲེལ་ངི,མདོ་སྡེ། ངི། 65,3993,,,http://iiif.bdrc.io/bdr:V23703_I1429::14290208.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-4,T3816,10-4_འཕགས་པ་བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།།.txt,10-4_འཕགས་པ་བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ།།_conc.txt,,,འཕགས་པ་བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པའི་དོན་བདུན་གྱི་རྒྱ་ཆེར་འགྲེལ་པ,༣༨༡༦་ཤེར་ཕྱིན་མ,ཤེས་ཕྱིན། མ 56,3816,,,http://iiif.bdrc.io/bdr:V23703_I1411::14110357.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-5,T3987,10-5_སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་རྒྱ་ཆེར་འགྲེལ་པ།.txt,10-5_སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་རྒྱ་ཆེར་འགྲེལ་པ།_conc.txt,,,སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་རྒྱ་ཆེར་འགྲེལ་པ,༣༩༨༧་མདོ་འགྲེལ་ངི,མདོ་སྡེ། ངི 65,3987,,,http://iiif.bdrc.io/bdr:V23703_I1429::14290112.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-6,T3988,10-6_ཚིགས་སུ་བཅད་པ་གཅིག་པའི་བཤད་པ།.txt,10-6_ཚིགས་སུ་བཅད་པ་གཅིག་པའི་བཤད་པ།_conc.txt,,,ཚིགས་སུ་བཅད་པ་གཅིག་པའི་བཤད་པ,༣༩༨༨་མདོ་འགྲེལ་ངི,མདོ་སྡེ། ངི 65,3988,,,http://iiif.bdrc.io/bdr:V23703_I1429::14290128.tif/full/full/0/default.jpg,,,,,,,,,,,,,
10-7,T2694,10-7_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།.txt,10-7_འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ།_conc.txt,,,འཕགས་པ་སྒོ་དྲུག་པའི་གཟུངས་ཀྱི་རྣམ་པར་བཤད་པ,༢༦༩༤་རྒྱུད་ནུ,རྒྱུད། ནུ། 37,2694,,,,,,,,,,,,,,,,
10-8,T3990,10-8_འཕགས་པ་ཆོས་བཞི་པའི་རྣམ་པར་བཤད་པ།.txt,10-8_འཕགས་པ་ཆོས་བཞི་པའི་རྣམ་པར་བཤད་པ།_conc.txt,,,འཕགས་པ་ཆོས་བཞི་པའི་རྣམ་པར་བཤད་པ,༣༩༩༠་མདོ་འགྲེལ་ངི,མདོ་སྡེ། ངི 65,3990,,,http://iiif.bdrc.io/bdr:V23703_I1429::14290133.tif/full/full/0/default.jpg,,,,,,,,,,,,,
11-10,T4203,11-10_ཚད་མ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt,11-10_ཚད་མ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc.txt,,,ཚད་མ་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,༤༢༠༣་ཚད་མ་ཅེ,ཚད་མ། ཅེ། 97,4203,,,http://iiif.bdrc.io/bdr:V23703_I1490::14900003.tif/full/full/0/default.jpg,,,,,,,,,,,,,
11-12,N4489,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།.txt,11-12_ཚད་མ་ཀུན་ལས་བཏུས་པ།_conc.txt,,,ཚད་མ་ཀུན་ལས་བཏུས་པ,༤༢༠༤་ཚད་མ་ཅེ,ཚད་མ། ཅེ། 97,4204,,,,,,,,,,,,,,,,
11-14,T4205,11-14_དམིགས་པ་བརྟག་པ།.txt,11-14_དམིགས་པ་བརྟག་པ།_conc.txt,,,དམིགས་པ་བརྟག་པ,༤༢༠༥་ཚད་མ་ཅེ,ཚད་མ། ཅེ། 97,4205,,,http://iiif.bdrc.io/bdr:V23703_I1490::14900173.tif/full/full/0/default.jpg,,,,,,,,,,,,,
11-15,T4206,11-15_དམིགས་པ་བརྟག་པའི་འགྲེལ་པ།.txt,11-15_དམིགས་པ་བརྟག་པའི་འགྲེལ་པ།_conc.txt,,,དམིགས་པ་བརྟག་པའི་འགྲེལ་པ,༤༢༠༦་ཚད་མ་ཅེ,ཚད་མ། ཅེ། 97,4206,,,http://iiif.bdrc.io/bdr:V23703_I1490::14900173.tif/full/full/0/default.jpg,,,,,,,,,,,,,
11-16,T4207,11-16_དུས་གསུམ་བརྟག་པ་ཞེས་བྱ་བ།.txt,11-16_དུས་གསུམ་བརྟག་པ་ཞེས་བྱ་བ།_conc.txt,,,དུས་གསུམ་བརྟག་པ,༤༢༠༧་ཚད་མ་ཅེ,ཚད་མ། ཅེ། 97,4207,,,http://iiif.bdrc.io/bdr:V23703_I1490::14900176.tif/full/full/0/default.jpg,,,,,,,,,,,,,
11-17,N4495,11-17_ཚད་མ་རིགས་པར་འཇུག་པའི་སྒོ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt,11-17_ཚད་མ་རིགས་པར་འཇུག་པའི་སྒོ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc.txt,,,ཚད་མ་རིགས་པར་འཇུག་པའི་སྒོ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ,-,ཚད་མ། ཅེ། 97,,,,,,,,,,,,,,,,,
11-18,T4209,11-18_གཏན་ཚིགས་ཀྱི་འཁོར་ལོ་གཏན་ལ་དབབ་པ།.txt,11-18_གཏན་ཚིགས་ཀྱི་འཁོར་ལོ་གཏན་ལ་དབབ་པ།_conc.txt,http://iiif.bdrc.io/bdr:V23703_I1490::14900187.tif/full/full/0/default.jpg,,གཏན་ཚིགས་ཀྱི་འཁོར་ལོ་གཏན་ལ་དབབ་པ,༤༢༠༩་ཚད་མ་ཅེ,ཚད་མ། ཅེ། 97,4209,,,http://iiif.bdrc.io/bdr:V23703_I1490::14900187.tif/full/full/0/default.jpg,,,,,,,,,,,,,
11-1,T1150,11-1_སྤེལ་མར་བསྟོད་པ།.txt,11-1_སྤེལ་མར་བསྟོད་པ།_conc.txt,,,སྤེལ་མར་བསྟོད་པ,༡༡༥༠་བསྟོད་ཚོགས་ཀ,བསྟོད་ཚོགས་ཀ 1,1150,,,http://iiif.bdrc.io/bdr:V23703_I1317::13170363.tif/full/full/0/default.jpg,,,,,,,,,,,,,
11-20,T4095,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།.txt,11-20_ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ།_conc.txt,,,ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ,༤༠༩༥་མངོན་པ་ཉུ,མངོན་པ། ཉུ། 82,4095,,,http://iiif.bdrc.io/bdr:V23703_I1463::14630192.tif/full/full/0/default.jpg,,,,,,,,,,,,,
11-21,T4208,11-21_ཚད་མའི་བསྟན་བཅོས་རིགས་པ་ལ་འཇུག་པ།.txt,11-21_ཚད་མའི་བསྟན་བཅོས་རིགས་པ་ལ་འཇུག་པ།_conc.txt,,,ཚད་མའི་བསྟན་བཅོས་རིགས་པ་ལ་འཇུག་པ,༤༢༠༨་ཚད་མ་ཅེ,ཚད་མ། ཅེ། 97,4208,,,http://iiif.bdrc.io/bdr:V23703_I1490::14900178.tif/full/full/0/default.jpg,,,,,,,,,,,,,
11-27,T4204,11-27_ཚད་མ་ཀུན་ལས་བཏུས་པའི་འགྲེལ་པ།.txt,11-27_ཚད་མ་ཀུན་ལས་བཏུས་པའི་འགྲེལ་པ།_conc.txt,,,ཚད་མ་ཀུན་ལས་བཏུས་པའི་འགྲེལ་པ,-,ཚད་མ། ཅེ། 97,,,,http://iiif.bdrc.io/bdr:V23703_I1490::14900029.tif/full/full/0/default.jpg,,,,,,,,,,,,,
11-2,T1156,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།.txt,11-2_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ།_conc.txt,,,ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་འགྲེལ་པ,༡༡༥༦་བསྟོད་ཚོགས་ཀ,བསྟོད་ཚོགས་ཀ 1,1156,,,http://iiif.bdrc.io/bdr:V23703_I1317::13170402.tif/full/full/0/default.jpg,,,,,,,,,,,,,
11-3,T1157,11-3_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ།.txt,11-3_ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ།_conc.txt,,,ཡོན་ཏན་མཐའ་ཡས་པར་བསྟོད་པའི་དོན་གྱི་ཚིག་ལེའུར་བྱས་པ,༤༥༦༡་ཇོ་བོའི་ཆོས་ཆུང་གི,བསྟོད་ཚོགས་ཀ 1,4561,,,http://iiif.bdrc.io/bdr:V23703_I1317::13170407.tif/full/full/0/default.jpg,,,,,,,,,,,,,
11-4,N0853,11-4_ཨེ་ཀ་ནཱ་ཐའི་དོན་འགྲེལ།.txt,11-4_ཨེ་ཀ་ནཱ་ཐའི་དོན་འགྲེལ།_conc.txt,,,ཨེ་ཀ་ནཱ་ཐའི་དོན་འགྲེལ,-,བསྟོད་ཚོགས་ཀ 1,,,,,,,,,,,,,,,,,
11-5,T2712,11-5_འཕགས་པ་འཇམ་པའི་དབྱངས་ཀྱི་བསྟོད་པ།.txt,11-5_འཕགས་པ་འཇམ་པའི་དབྱངས་ཀྱི་བསྟོད་པ།_conc.txt,,,འཕགས་པ་འཇམ་པའི་དབྱངས་ཀྱི་བསྟོད་པ,༢༧༡༢་རྒྱུད་ནུ,རྒྱུད། ནུ། 37,2712,,,,,,,,,,,,,,,,
