ཨང།,ཆོས་མཚན།,ཆོས་མཚན,Is Derge,,སྡེ་ཚན། སྤྱིའི་དེབ་གྲངས།,མཛད་པ་པོ།,མཚན་གཅིག་གྱུར།,དཔེ་བསྡུར་གྱི་ཤོག་གྲངས།,པེ་ཅིང་ཤོག་གྲངས།,སྡེ་དགེའི་ཤོག་གྲངས།,ཆོས་ཚན་ཨང།
405,སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ་ཞེས་བྱ་བ།,སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ,,17-38,རྒྱུད། ཟི། 27,དཔལ་མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,918-930,ཚི316ན-322ན,ཟི254བ-260ན,
406,མི་འཁྲུགས་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།,མི་འཁྲུགས་པའི་སྒྲུབ་ཐབས,,17-39,རྒྱུད། ཇུ 34,ཇོ་བོ་རྗེ།,༡༧-ཇོ་བོ་རྗེ།,1589-1593,གུ337ན-338བ,ཇུ306བ-308ན,
407,མི་འཁྲུགས་པའི་སྒྲུབ་ཐབས་བསྡུས་པ།,མི་འཁྲུགས་པའི་སྒྲུབ་ཐབས་བསྡུས་པ,,,རྒྱུད། ཇུ 34,མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,1594-1596,གུ338བ-339ན,ཇུ308ན-308ན,
408,ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག,,17-40,རྒྱུད། ཇུ 34,དཔལ་མར་མེ་མཛད།,༡༧-ཇོ་བོ་རྗེ།,1597-1600,གུ339ན-340བ,ཇུ308བ-309བ,
409,སྦྱིན་སྲེག་གི་ཆོ་ག,སྦྱིན་སྲེག་གི་ཆོ་ག,,17-102,རྒྱུད། ཇུ 34,ཇོ་བོ་རྗེ།,༡༧-ཇོ་བོ་རྗེ།,1612-1614,གུ342ན-343བ,ཇུ311ན-311བ,
410,འཇམ་པའི་དབྱངས་དཔའ་བོ་གཅིག་ཏུ་གྲུབ་པའི་སྒྲུབ་ཐབས།,འཇམ་པའི་དབྱངས་དཔའ་བོ་གཅིག་ཏུ་གྲུབ་པའི་སྒྲུབ་ཐབས,,17-41,རྒྱུད། ནུ། 37,མར་མེ་མཛད་ཡེ་ཤེས།,༡༧-ཇོ་བོ་རྗེ།,286-291,ཉུ88བ8-90བ8,ནུ70ན3-72ན2,
411,འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྶ་པཱ་ཎིའི་སྒྲུབ་ཐབས།,འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁརྶ་པཱ་ཎིའི་སྒྲུབ་ཐབས,,17-42,རྒྱུད། ནུ། 37,ཇོ་བོ་རྗེ་དང།,༡༧-ཇོ་བོ་རྗེ།,707-710,ཉུ225བ-227ན,ནུ194ན-195ན,
412,དཔལ་ཕྱག་ན་རྡོ་རྗེ་ལ་བསྟོད་པ།,དཔལ་ཕྱག་ན་རྡོ་རྗེ་ལ་བསྟོད་པ,,17-43,རྒྱུད། ནུ། 37,སློབ་དཔོན་དཱི་པཾ་ཀ་ར།,༡༧-ཇོ་བོ་རྗེ།,901-904,ཉུ289ན-290བ,ནུ240ན-241ན,
413,རྣམ་འཇོམས་ཀྱི་སྒྲུབ་ཐབས་བརྒྱ་རྩ་བརྒྱད་གྲགས་པ།,རྣམ་འཇོམས་ཀྱི་སྒྲུབ་ཐབས་བརྒྱ་རྩ་བརྒྱད་གྲགས་པ,,17-44,རྒྱུད། པུ། 38,ཇོ་བོ་རྗེ།,༡༧-ཇོ་བོ་རྗེ།,50-,ཏུ17ན-24བ5,པུ16ན6-23བ4,
414,ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ,,,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད།,༡༧-ཇོ་བོ་རྗེ།,71-72,ཏུ25བ-26བ,པུ24བ-25ན,
415,ལྷ་མོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,ལྷ་མོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ,,17-104,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད་བཟང་པོ།,༡༧-ཇོ་བོ་རྗེ།,73-74,ཏུ26བ-27བ,པུ25བ-26བ,
416,དཔའ་བོ་གཅིག་པའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་བདུད་རྩི་བུམ་པའི་ཆོ་ག,དཔའ་བོ་གཅིག་པའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་བདུད་རྩི་བུམ་པའི་ཆོ་ག,,17-105,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད།,༡༧-ཇོ་བོ་རྗེ།,77-77,ཏུ27བ-28ན,པུ26བ-27ན,
417,ཡབ་ཡུམ་གཉིས་པའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ་བདེ་སྦྱིན་དམ་པ་ཞེས་བྱ་བ།,ཡབ་ཡུམ་གཉིས་པའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ་བདེ་སྦྱིན་དམ་པ,,17-106,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད།,༡༧-ཇོ་བོ་རྗེ།,77-77,ཏུ28ན-29ན,པུ27ན-27,
418,བདུད་རྩི་ཐབ་སྦྱོར་ཞེས་བྱ་བ་ཁྲོ་བོ་བཞིའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག་ཟབ་མོ།,བདུད་རྩི་ཐབ་སྦྱོར་ཞེས་བྱ་བ་ཁྲོ་བོ་བཞིའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག་ཟབ་མོ,,17-107,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད།,༡༧-ཇོ་བོ་རྗེ།,78-81,ཏུ29ན-30བ,པུ27བ-29ན,
419,སྒོ་མ་བཞིའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག་རིན་པོ་ཆེ་དྲི་མ་མེད་པ་ཞེས་བྱ་བ།,སྒོ་མ་བཞིའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག་རིན་པོ་ཆེ་དྲི་མ་མེད་པ,,17-108,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད།,༡༧-ཇོ་བོ་རྗེ།,82-82,ཏུ30བ-31བ,པུ29ན-29བ,
420,རྒྱལ་པོ་བཞིའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།,རྒྱལ་པོ་བཞིའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ,,17-109,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད།,༡༧-ཇོ་བོ་རྗེ།,82-84,ཏུ31བ-32ན,པུ29བ-30བ,
421,ཕྱོགས་སྐྱོང་བ་བཅུའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག,ཕྱོགས་སྐྱོང་བ་བཅུའི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག,,17-110,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད།,༡༧-ཇོ་བོ་རྗེ།,85-88,ཏུ32ན-34ན,པུ30བ-32བ,
422,གཟའ་ཆེན་པོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག་ཉི་མ་བཅུད་ལེན།,གཟའ་ཆེན་པོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བའི་ཆོ་ག་ཉི་མ་བཅུད་ལེན,,17-111,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད།,༡༧-ཇོ་བོ་རྗེ།,89-91,ཏུ34ན-35བ,པུ32ན-33ན,
423,རྒྱུ་སྐར་ཉི་ཤུ་རྩ་བརྒྱད་ཀྱི་དབང་བསྐུར་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་རྡོ་རྗེ་གོ་ཆ་ཞེས་བྱ་བ།,རྒྱུ་སྐར་ཉི་ཤུ་རྩ་བརྒྱད་ཀྱི་དབང་བསྐུར་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་རྡོ་རྗེ་གོ་ཆ,,17-112,རྒྱུད། པུ། 38,དཔལ་མར་མེ་མཛད་བཟང་པོ།,༡༧-ཇོ་བོ་རྗེ།,92-94,ཏུ35བ-37ན,པུ33ན-34བ,
